Dusun,English,Type,Malay,Category,Variants
"poomion poh ih mii om guringon","soak the noodles first before frying",sentence,"rendam dulu mi itu sebelum digoreng",imperative,
poomitan,example,noun,contoh,"ideas & emotions",
"poontoko noh ih kosilapan","please correct the mistake",sentence,"tolong perbetulkan kesilapan itu",imperative,
poopian,"place to keep things",noun,"tempat menyimpan","places & buildings",
"poopio tih salinan om andadon nopo yahai momolohou diya","keep this copy and wait for us to contact you",sentence,"simpan salinan ini dan tunggu kami hubungi anda",imperative,
"poopion diyolo ih taakanon hir'd suang doh aisbuk","they keep food in the refrigerator",sentence,"mereka menyimpan makanan di dalam peti sejuk",declarative,
"poopion ku ih kunsi ku hiri'd suad doh biik","i keep my keys in my bag",sentence,"saya menyimpan kunci saya di dalam beg",declarative,
pootodo,send,"verb ",hantarkan,imperative,
pootodo,"send it","verb ",hantarkan,imperative,
"pootodo kumaa doho ih versi paling wagu doh baino","send me the updated version today",sentence,"hantar kepada saya versi yang terkini hari ini.",imperative,
"pootodo oku hilo'd sikul","send me to school ",sentence,"hantar saya ke sekolah",imperative,
"pootodon ku diya sobolum tanga totuong","i’ll send it to you before midnight",sentence,"saya akan hantar kepada kamu sebelum tengah malam",declarative,
"pootodon ku ih bunga doh suab","I will send the flower tomorrow",sentence,"saya akan hantar bunga itu esok",declarative,
"pootodon ku ih surat nu","I will send your letter",sentence,"saya akan hantar surat kamu",declarative,
"pootodon oku diya?","will you send me?",sentence,"kamu akan hantar saya?",interrogative,
"pootodon oku noh","please send me later",sentence,"hantar saya nanti",imperative,
"popiano suara  nu","lower your voice",sentence,"perlahankan suaramu",imperative,
popibida,"to differentiate",verb,membezakan,,
popiduo,"to divide in half",verb,"bahagi dua",,
"popingolos ko nopo doh kurita nu","you often lend your car to other people",sentence,"kamu selalu meminjamkan kereta kamu kepada orang lain",declarative,
popinsunud,"to spread story around",verb,"menyebarkan cerita","dynamic - causative",
popioput,"to connect",verb,menyambung,"dynamic - causative",
popirolot,"to mix",verb,mengaul,,
popiromut,"to connect",verb,menghubungkan,"dynamic - causative",
popoamung,"to combine",verb,mengabungkan,"dynamic - causative",
popobida,"to differentiate",verb,membezakan,"dynamic - causative",
popobiing,"to money in the bank",verb,"memasukkan wang di bank","dynamic - causative",
"popobuat tongo sonong","doing good deeds",phrase,beramal,,
popoburu,"to do",verb,melakukan,"dynamic - causative",
popodumpau,"to slam",verb,menghempas,,"popodumpo, popodumpou"
popogirot,"to strengthen",verb,mengeratkan,"dynamic - causative",
popogogok,"to retract",verb,"menarik balik, menarik masuk","dynamic - causative",
popogonop,"to make perfect",verb,menggenapkan,"dynamic - causative",
popoguli,"returning ","verb ","kasi balik",,
popoguli,"to return",verb,mengembalikan,"dynamic - causative",
popogumu,"to increase",verb,memperbanyakkan,"dynamic - causative",
"popogumu ih pulis rondaan salapas miguli-guli nopo apanakahan dungotuong","police increase patrols after repeated night thefts",sentence,"polis meningkatkan rondaan selepas kecurian berulang waktu malam",declarative,
popogura,"to make one move",verb,mengoyangkan,"dynamic - causative",
popoharo,"to implement",verb,mengadakan,"dynamic - causative",
popoharo,"to organize",verb,menganjurkan,"dynamic - causative",
popohompit,"to include",verb,melibatkan,"dynamic - causative",
popohompit,"to involve",verb,melibatkan,"dynamic - causative",
"popohompit ko doho?","you want to involve me?",sentence,"kamu mahu libatkan saya?",interrogative,
popohondom,"to remind",verb,mengingatkan,"dynamic - causative",
popoihad,"to make one cry",verb,"membuat seseorang menangis","dynamic - causative",
"popoihad nopo tanak tulun karaja nu","all you do is make other people’s kids cry",sentence,"kerja kamu kasih nangis anak orang saja",declarative,
popoikid,"to distribute",verb,membahagikan,"dynamic - causative",
popoikum,"to embarrass",verb,memalukan,"dynamic - causative",
popoilang,sharing,verb,mengongsikan,,
"popoilang yolo nunu nopo ih haro kumaa tulub dih oporulu","they share what they have with people in need",sentence,"mereka berkongsi apa yang mereka ada dengan orang yang memerlukan",declarative,
popoilih,"to lay down",verb,meletakkan,"dynamic - causative",
popoilih,"to put down",verb,meletakkan,"dynamic - causative",
popoilo,"to tell",verb,memberitahu,"dynamic - causative",
popoilob,"making one to throw up",verb,"membuat seseorang muntah","dynamic - causative",
popoimamang,"make fool of",verb,memperbodohkan,,
popoimbulai,"to expose",verb,mendedahkan,"dynamic - causative",
popoindalan,"to carry out",verb,menjalankan,"dynamic - causative",
popoingat,"to remind",verb,mengingatkan,"dynamic - causative",
"popoingat ih iman dati dot miampai ih Kinorohingan dati monikid musim","faith  reminds us that God is with us in every season",sentence,"iman  mengingatkan kita bahawa Tuhan bersama kita dalam setiap musim hidup",declarative,
"popoingat oku dokou dot migit waig togumu doh suab","I want to remind you to bring plenty of water tomorrow",sentence,"saya ingin mengingatkan kamu supaya membawa air yang banyak esok",declarative,
popoinsawat,"to raise",verb,menaikkan,"dynamic - causative",
popoinsodu,"to prevent",verb,mencegah,,
popoinsodu,"to draw away",verb,menjauhkan,"dynamic - causative",
popoinsomok,"to draw closer",verb,mendekatkan,"dynamic - causative",
popointalang,"to highlight",verb,menyerlahkan,"dynamic - causative",
popointanga,"to recommend",verb,mengetengahkan,"dynamic - causative",
popointong,"to show",verb,menunjukkan,"dynamic - causative",
popointuhun,"to bring down",verb,menurunkan,"dynamic - causative",
popointutun,"to introduce",verb,memperkenalkan,"dynamic - causative",
popoinum,"to give a drink",verb,"memberi minum","dynamic - causative",
"popoirak ko doho","you are making me laugh",sentence,"kamu membuat saya ketawa",declarative,
"popoirak ko doho","you make me laugh",sentence,"kamu membuat saya ketawa",declarative,
"popoirak yau doho","he makes me laugh",sentence,"dia membuat saya ketawa",declarative,
popoiyon,"to make one to stay",verb,"menyuruh untuk tinggal","dynamic - causative",
popojalan,"to carry out",verb,menjalankan,"dynamic - causative",
popojual,"to sell",verb,menjual,"dynamic - causative",
popokingan,"parking place",noun,"tempat meletak kereta","places & buildings",
popokirim,"to send",verb,mengirim,"dynamic - causative",
popokito,"to present",verb,mempersembahkan,"dynamic - causative",
popokito,"to show",verb,menunjukkan,"dynamic - causative",
popokoring,"to dry",verb,mengeringkan,"dynamic - causative",
popokoro,"to underestimate",verb,memperkecilkan,,
popokoro-koro,belittle,verb,memperkecil-kecilkan,,
popokuri,"to reduce",verb,mengurangkan,"dynamic - causative",
"popokusum oku daa dau","I am trying to make him smile",sentence,"saya sedang cuba buat dia tersenyum",declarative,
popolintuhun,"to bring down",verb,menurunkan,"dynamic - causative",
popolisok,"to hide",verb,menyembunyikan,"dynamic - causative",
"popolisok oku sabab asaru ko'd monondos doho. apanat oku","I hide because you accuse me of everything. I’m tired",sentence,"saya sembunyi sebab kamu asyik tuduh saya. saya penat",declarative,
popologos,"to let",verb,membiarkan,"dynamic - causative",
popolokop,"to place",verb,melekapkan,"dynamic - causative",
popolulus,approve,verb,meluluskan,"dynamic - causative",
poponiba,"to shorten",verb,memendekkan,"dynamic - causative",
"popoodop oku dih tanak ku","I'm putting my child to sleep",sentence,"saya sedang menidurkan anak saya",declarative,
popoolos,"to lend",verb,meminjamkan,"dynamic - causative",
popoomi,"to soak",verb,merendamkan,"dynamic - causative",
popoontok,"to target",verb,mensasarkan,"dynamic - causative",
popoontong,"to show",verb,memperlihatkan,"dynamic - causative",
popoopi,"to keep",verb,menyimpan,"dynamic - causative",
popoopi,"to store",verb,menyimpan,"dynamic - causative",
"popoopi ilo kadai doh stok lobi","the shop keeps extra stock",sentence,"kedai itu menyimpan stok tambahan",declarative,
"popoopi yahai bekalan kecemacan hilo'd walai","we keep emergency supplies at home",sentence,"kami menyimpan bekalan kecemasan di rumah",declarative,
"popoopi yau doh tusin daripada momirubat","he saves money rather than waste it",sentence,"dia simpan duit daripada membazirkannya",declarative,
"popoopi yau doh tusin montok kogunaan koimbagu","she keeps the money for later use",sentence,"dia menyimpan wang itu untuk kegunaan kemudian",declarative,
popoowit,"make someone bring",verb,"suruh orang bawa","dynamic - causative",
"popoowit oku daa diya doh tusin pomoli doh sada","I want to give you money to buy fish",sentence,"saya ingin bagi kamu duit untuk membeli ikan",declarative,
popopian,"to lower down volume",verb,"memperlahankan suara","dynamic - causative",
poporalom,"to make deeper",verb,mendalamkan,"dynamic - causative",
poporihat,"to make one rest",verb,merehatkan,"dynamic - causative",
poporikot,"to bring",verb,membawa,"dynamic - causative",
poporilit,"to coil up (rope)",verb,melilitkan,"dynamic - causative",
poporisaan,examination,noun,peperiksaan,"ideas & emotions",
poporolot,"to mix in",verb,mengadukkan,"dynamic - causative",
poporomut,"to deliver news",verb,menghebahkan,"dynamic - causative",
poporomut,"to connect",verb,menghubungkan,"dynamic - causative",
poporongou,"to make someone hear",verb,memperdengarkan,"dynamic - causative",
poporuhang,"to add",verb,menambah,"dynamic - causative",
poporumpos,"to fit in",verb,memuatkan,,
poporuput,"to report",verb,melaporkan,"dynamic - causative",
poposiar,"to broadcast",verb,menyiarkan,declarative,
poposidang,"dry under",verb,"mengeringkan di bawah matahari","dynamic - causative",
poposidang,"putting under the sun",verb,menjemur,"dynamic - causative",
poposidang,drying,verb,menyidai,"dynamic - causative",
"poposiiso doh ginau dati","to unite our hearts",phrase,"menyatukan hati kita",,
poposikul,"to educate",verb,menyekolahkan,"dynamic - causative",
poposila,"making one to lick",verb,"membuat seseorang menjilat","dynamic - causative",
poposiling,"to cast",verb,menebar,,
poposipat,"to expedite",verb,mempercepatkan,"dynamic - causative",
poposodia,providing,verb,menyediakan,"dynamic - causative",
poposodia,"to prepare",verb,menyediakan,"dynamic - causative",
"poposodia yolo dih jualan tagayo damot musim suti","they are preparing for a big holiday sale",sentence,"mereka sedang membuat persiapan untuk jualan besar musim cuti",declarative,
poposogit,"to cool down",verb,menyejukkan,"dynamic - causative",
"poposogit oku poh ti Milo ku","I’m cooling down my Milo first",sentence,"saya sejukkan dahulu Milo saya ini",declarative,
poposokot,"to stick",verb,melekatkan,"dynamic - causative",
poposolian,"to put outside",verb,mengeluarkan,"dynamic - causative",
poposolimpuun,"to start",verb,memulakan,"dynamic - causative",
poposompuru,"to unite",verb,menyatukan,,
poposuang,"to let in",verb,memasukkan,"dynamic - causative",
poposuang,"to fill",verb,"memasukkan, mengisi","dynamic - causative",
poposungkad,"to plant (a pole, stake)",verb,"menanam (tiang, pacak)","dynamic - causative",
poposuni,"to grow",verb,menumbuhkan,"dynamic - causative",
poposunud,"to inform",verb,memaklumkan,"dynamic - causative",
"poposunud tokou dih otopot ali pia osusa","we tell the truth even when it is difficult",sentence,"kami berkata benar walaupun ia susah",declarative,
poposusui,tell,verb,menceritakan,,poposurita
poposusui,tell,verb,menceritakan,,poposunud
poposusuk,"to poke",verb,mencucuk,"dynamic - causative",
poposusuk,"to prick",verb,mencucuk,"dynamic - causative",
popot,chop,"verb ",potong,root,
popotabung,"to immerse",verb,merendamkan,"dynamic - causative",
"popotenang doh ginawo tomod ilo lakun","the waves are so calming",sentence,"ombak itu sangat menenangkan",declarative,
popotikid,"to distribute",verb,mengagihkan,"dynamic - causative",
popotilombus,"to continue",verb,meneruskan,"dynamic - causative",
popotilombus,"to move on",verb,meneruskan,"dynamic - causative",
popotimporon,"to leave behind",verb,meninggalkan,,
popotinduk,"feeding chicken",verb,"memberi makan ayam","dynamic - causative",
popotingkat,"to improve",verb,meningkatkan,"dynamic - causative",
popotingkod,"to cease",verb,memberhentikan,"dynamic - causative",
popotobilang,"set aside",verb,"mengasingkan, membahagikan","dynamic - causative",
popotonduli,"to restore",verb,"memulihkan, memperbetulkan","dynamic - causative",
"popotonduli yolo dih bangunan gulu-gulu","they are restoring the old building",sentence,"mereka sedang memulihkan bangunan lama itu",declarative,
popotood,"to cheer up",verb,mengembirakan,"dynamic - causative",
popotulid,"to straighten",verb,meluruskan,"dynamic - causative",
popotulud,"to make (something) fly",verb,menerbangkan,"dynamic - causative",
popotulud-kapal,pilot,noun,pilot,"people & roles",
popotumpu,"to focus",verb,menumpukan,"dynamic - causative",
popotuntug,"to pour out",verb,menuang,"dynamic - causative",
popoturu,"to make it drip",verb,menitiskan,"dynamic - causative",
popotutuk,"to cause one go round",verb,mengelilingi,"dynamic - causative",
popou,charcoal,noun,arang,"objects & tools",
popoumum,"to announce",verb,mengumumkan,"dynamic - causative",
popoundali,"to move",verb,mengalihkan,"dynamic - causative",pinapaali
popoundar,"to fix",verb,memperbetulkan,"dynamic - causative",
popoundorong,"to stop",verb,memberhentikan,"dynamic - causative",
"popouni doh hoon",honking,verb,"membunyikan hon","dynamic - causative",
poring,bamboo,noun,bambu,nature,
poringatan,remembrance,noun,peringatan,"ideas & emotions",
porinta,government,noun,kerajaan,"ideas & emotions",
porisa,check,"verb ",periksa,root,
porisao,check,verb,periksakan,,
"porisaon dih injinio ih struktur bangunan","the engineer inspects the building structure",sentence,"jurutera memeriksa struktur bangunan",declarative,
"porisaon poh kurita doh gulu sobolum mamanau","check the car before leaving",sentence,"periksa dulu kereta sebelum berlepas",declarative,
poriuk,wok,noun,kuali,"objects & tools",
"pormuhunan momonsoi jambatan pajalan kaki montok tulun togumu om budak sikul","application for the construction of a pedestrian bridge for residents and school children",sentence,"permohonan pembinaan jambatan pejalan kaki untuk kegunaan penduduk dan murid sekolah",declarative,
porokis,agile,adjective,tangkas,descriptive,
"poroktis yau tiap tadau; jadi osipat yau suminonong","she practiced every day; thus, she improved quickly",sentence,"dia berlatih setiap hari; maka, dia cepat bertambah baik",imperative,
"porondomon dau ih podokoton hiri'd waig sobolum pupuan","he immerses the cloth in water before washing",sentence,"dia merendam kain itu dalam air sebelum membasuh",declarative,
"porondomon dih tukang masak ih tongo sayur hiri id waig molok-golok","the chef immerses the vegetables in boiling water",sentence,"tukang masak itu merendam sayur-sayuran dalam air mendidih",declarative,
"porondomon ku ih burus id waig sobolum manaat","I immerse the brush in water before painting",sentence,"saya merendam berus dalam air sebelum melukis",declarative,
porotuo,"drop it","verb ",jatuhkan,imperative,
porubahan,changes,noun,perubahan,"ideas & emotions",
porubahan,transformation,noun,perubahan,"ideas & emotions",
poruhukan,"going down",verb,menurun,,
"poruntukan doh bajet mositi noh ransangon kosonong-sonong","budget allocation must be planned carefully",sentence,"peruntukan bajet mesti dirancang dengan teliti",declarative,
posiaro,broadcast,verb,siarkan,imperative,
"posidangon poh ih parai sobolum kisaron","the harvested rice is dried before milling",sentence,"padi yang dituai dikeringkan sebelum diproses",declarative,
posik,"wake up",verb,bangun,,
"posik, alambatan ko’d mongoi sikul","wake up, you’ll be late for school",sentence,"bangun, kamu akan lewat ke sekolah",imperative,
posikai,"wake him up",verb,bangunkan,,
"posikan oku noh diya doh pukul anam","wake me up at six",sentence,"bangunkan saya pada jam enam",imperative,
"posikan oku noh diya pukul anam kosuabon suab","please wake me up at six tomorrow morning",sentence,"bangunkan saya pada jam enam pagi esok",imperative,
"posikulon dau ih Mary hilo’d Amarika","he will send Mary to study in America",sentence,"dia akan hantar Mary bersekolah di Amerika",declarative,
"posilandau mato","eyes widened",phrase,"terbeliak mata",,
posilingon,throw,verb,lempar,,
posilondou,"widened eyes",adjective,"terbeliak mata",descriptive,
posingkotud,kneeling,adjective,berlutut,descriptive,
posis,squirrel,noun,tupai,animals,
posisang,"rice black bug",noun,"kesisang padi",animals,
posisang,"stink bug",noun,"kesisang padi",animals,
"posisidangan kain","clothes line",noun,"ampaian kain","places & buildings",
posoborong,across,connector,melintas,preposition,
posodia,ready,adjective,bersedia,general,
posodia,provide,verb,sediakan,,
"posodiaon ku ih slaid pembentangan","i will prepare the presentation slides",sentence,"saya akan sediakan slaid pembentangan",declarative,
"posodiaon poh dih momumutanom ih ranau sobolum mananom","farmers prepare the field before planting rice",sentence,"petani menyediakan sawah sebelum menanam padi",declarative,
"posoitan doh bansu","clothes hanger",noun,"penyangkut baju","objects & tools",
posoito,"hang it (on hanger, hook)","verb ",sangkutkan,imperative,
"posoito doho ti bansu ku","help me hang my shirt",sentence,"tolong sangkutkan baju saya",declarative,
posombungo,connect,"verb ",sambungkan,imperative,
posorili,around,connector,sekeliling,preposition,
posuango,"put in","verb ",masukkan,imperative,
posukan,team,noun,pasukan,"ideas & emotions",
posumbalik,"inside out",adjective,terbalik,descriptive,
posunsuri,"reverse direction","verb ","arah ke belakang",,
potensi,potential,noun,potensi,"ideas & emotions",
"potiaso nopo ino tongo linso. sumuni ino boh","just scatter the seeds. they will grow anyway",sentence,"hambur saja biji-biji itu. ia akan tumbuh juga",declarative,
potibabar,across,adjective,melintang,descriptive,
potilombus,continuous,adjective,berterusan,general,
potilombuso,continue,"verb ",teruskan,imperative,
"potilombuso noh","move on",phrase,teruskan,,
"potilombuso nopo ih kutumbayaan nu Dau ali pia amu nu opurimanan","keep trusting Him, even when you don’t feel it",sentence,"terus percayakan Dia walaupun kamu tidak merasainya",declarative,
"potimporono ino biik doh hiti","leave the bag here",sentence,"tinggalkan beg itu di sini",imperative,
potimpusu,overwhelming,adjective,bertimbun,personal,
potinggoub,"lying prone",adjective,meniarap,descriptive,
potiukan,"wild bee, giant honeybee ",noun,"lebah tualang",animals,
"potobungo hiri’d waig talasu-lasu momosik dau","soak it in warm water to wake him up",sentence,"rendam di air suam untuk membangunkan dia",declarative,
"potobungon dau ih gakod dau hiri'd baang","she immerses her feet in the river",sentence,"dia merendam kakinya di dalam sungai",declarative,
"potobungon ku longon ku id waig talasu-lasu","I immerse my hands in warm water",sentence,"saya merendam tangan saya dalam air suam",declarative,
potondulio,"restore it",verb,perbetulkan,,
potonudo,"let him join",verb,"benarkan dia ikut",imperative,
"potonudo noh ih unjuran risiko","please include risk projections",sentence,"sila sertakan unjuran risiko",declarative,
"potonudo oku diya mongoi KK","allow me to follow you to KK",sentence,"bagi saya ikut kamu ke KK",declarative,
"potonudon noh ih Mary mongoi hilo'd disan doh rahat","let Mary follow you to the beach",sentence,"benarkan Mary ikut kamu ke pantai",declarative,
"potumpuon kumaa'd balanja poimpasi, poluang karaja om poposonong servis momogun","focus on cost of living, job opportunities, and improving local services",sentence,"fokus pada kos sara hidup, peluang pekerjaan, dan penambahbaikan perkhidmatan tempatan",declarative,
potuntugo,"pour it out","verb ",tuangkan,imperative,
"poturuso nopo ino sinding nu","just continue your song",sentence,"teruskan saja lagu kamu itu",declarative,
"poturuson nopo al pia osusa kaadaan","keep going on even when things get difficult",sentence,"teruskan walaupun keadaan menjadi sukar",declarative,
poudukut,"curled up",adjective,meringkuk,,
"poudukut ih John hilo'd katil maso norikatan ku","John was curled up on the bed when I arrived",sentence,"John meringkuk di atas katil semasa saya sampai",,
poumumon,"to announce",verb,umumkan,,
"poumumon ih koputusan kolimpupuson suab","the final result will be announced tomorrow",sentence,"keputusan akhir akan diumumkan esok",declarative,
poundaro,align,verb,selaraskan,,
poundorong,stationary,adjective,berhenti,descriptive,
puaio,caress,verb,belai,imperative,
"puas hati ko dih pinili nu?","are you happy with your choice?",sentence,"kamu puas hati dengan pilihan kamu itu?",interrogative,
puasa,fasting,noun,puasa,"ideas & emotions",
pugag,caress,verb,membelai,,
pugago,caress,"verb ",belai,imperative,
pugai,"love spell",noun,"jampi kasih","ideas & emotions",
puii!,shit!,interjection,sial!,,
"puji Tuhan","praise God",phrase,"puji Tuhan",,
pukot,"fishing net",noun,pukat,"objects & tools",
"pukul anam ampat puluh lima","quarter to seven o'clock",sentence,"limabelas minit ke jam tujuh",declarative,
"pukul dua","two o'clock",noun,"pukul dua","time, events & quantities",
"pukul duabalas","twelve o'clock",noun,"pukul duabelas","time, events & quantities",
"pukul nunu ko korikot?","what time will you arrive?",sentence,"jam berapa kamu sampai?",interrogative,
"pukul nunu ko koubasan do mosik?","what time do you usually wake up?",sentence,"jam berapa kamu biasanya bangun?",interrogative,
"pukul nunu ko mongoi hilo'd erpot?","what time will you go to the airport?",sentence,"pukul berapa kamu pergi ke lapangan terbang?",interrogative,
"pukul nunu ko nokorikot?","what time did you arrive?",sentence,"jam berapa kamu sampai?",interrogative,
"pukul nunu ko nokorikot?","at what time did you arrive?",sentence,"pada pukul berapa kamu tiba?",interrogative,
"pukul nunu ko’d minodop kosodop?","what time did you go to sleep last night?",sentence,"jam berapa kamu tidur semalam?",interrogative,
"pukul nunu ko'd modop totuong baino?","what time are you going to sleep tonight?",sentence,"pukul berapa kamu tidur malam ini?",interrogative,
"pukul nunu ko'd mosik kosuabon?","what time do you wake up in the morning?",sentence,"jam berapa kamu bangun pagi?",interrogative,
"pukul nunu ko'd nokosondot?","what time did you land?",sentence,"jam berapa kamu mendarat?",interrogative,
"pukul nunu ko'd tumulud?","what time is your flight?",sentence,"jam berapa kamu terbang (berlepas)?",interrogative,
"pukul nunu koposikan nu?","what time do you wake up?",sentence,"jam berapa kamu bangun?",interrogative,
"pukul nunu koubasan nu mosik?","what time do you usually wake up?",sentence,"jam berapa biasanya kamu bangun tidur?",interrogative,
"pukul nunu koubasan opupusan ih sikul nu?","what time does your school usually end?",sentence,"jam berapa biasanya sekolah kamu berakhir?",interrogative,
"pukul nunu koulaion doh tadau baino?","what time is the sunrise today?",sentence,"jam berapa matahari terbit hari ini?",interrogative,
"pukul nunu maso kaadapan nu?","what time do you normally go to sleep?",sentence,"jam berapa biasanya kamu tidur?",interrogative,
"pukul nunu noh?","what time is it?",sentence,"jam berapa sekarang?",interrogative,
"pukul nunu obuka ti kadai?","what time does this shop open?",sentence,"jam berapa kedai ini buka?",interrogative,
"pukul nunu yato miganti mamajaga di yapa?","what time do we take turns looking after father?",sentence,"jam berapa kita berganti menjaga ayah?",interrogative,
"pukul nunu yau'd nokorikot?","what time did he arrive?",sentence,"jam berapa dia sampai?",interrogative,
"pukul nunu?","what time?",sentence,"pukul berapa?",interrogative,
"pukul sabalas","eleven o'clock",noun,"pukul sebelas","time, events & quantities",
"pukul sabalas noh om amu poh noposik ih Mary","it's eleven o'clock but Mary hasn't woken up yet",sentence,"sudah jam sebelas namun Mary belum bangun lagi",declarative,
"pukul satu","one o'clock",noun,"pukul satu","time, events & quantities",
"pukul sombilan","nine o'clock",noun,"pukul sembilan","time, events & quantities",
"pukul sopuluh","ten o'clock",noun,"pukul sepuluh","time, events & quantities",
"pukul tiga","three o'clock",noun,"pukul tiga","time, events & quantities",
"pukul tiga poh kosuabon om oposik noh ih John mongoi pomutung","John wakes up as early as three o’clock to tap rubber",sentence,"John bangun seawal jam tiga untuk pergi menoreh getah",declarative,
"pukul tujuh","seven o'clock",noun,"pukul tujuh","time, events & quantities",
"pukul tujuh limabalas","quarter past seven o'clock",noun,"pukul tujuh limabelas","time, events & quantities",
"pukul tujuh sitangah","half past seven o'clock",noun,"pukul tujuh setengah","time, events & quantities",
pukung,"missing a limb",adjective,kudung,descriptive,
pukung,amputee,noun,kudung,"people & roles",
pukung,tailess,adjective,"tidak berekor",,
pulau,island,noun,pulau,"places & buildings",
pulias,magic,noun,sakti,"ideas & emotions",
pulis,policeman,noun,"pegawai polis","people & roles",
pulis,police,noun,polis,"people & roles",
pulitik,politic,noun,politik,"ideas & emotions",
pulo,island,noun,pulau,"places & buildings",
pulut,sap,noun,getah,nature,
pulutan,jackfruit,noun,cempedak,nature,
pundan,transvestite,noun,pondan,"people & roles",
pungit,bat,noun,kelawar,animals,
pungut,"clay jar",noun,tempayan,"objects & tools",
punso,"wipe out completely",verb,memusnahkan,,
punso,"go extinct","verb ",musnah,root,
punsoh,destroy,verb,musnah,,
punsu,"civet (animal)",noun,musang,animals,
punti,banana,noun,pisang,nature,
puntianak,vampire,noun,pontianak,"ideas & emotions",
puok,owl,noun,"burung pungguk",animals,
pupu,"wash laundry","verb ",mencuci,root,
pupuan,laundry,noun,"kain cucian","clothing & personal items",
pupus,finish,"verb ",habis,root,
"pura-pura ih John mosikin supaya amu tumanud dau ih tongo sumandak mata duitan","John pretended to be poor so that gold-digging women wouldn’t go after him",sentence,"John berpura-pura miskin supaya perempuan mata duitan tidak ikut-ikut dia",declarative,
puralan,"palm lines",noun,"garis tapak tangan","body, health & activities",
puralan,"lines on palm",noun,"garisan telapak tangan","body, health & activities",
purimon,feel,verb,merasakan,,
"purimono noh ti lagu","feel this song",sentence,"hayatilah lagu ini",imperative,
purog,"bentonite clay",noun,"sejenish tanah",nature,
purujik,project,noun,projek,"ideas & emotions",
purujik,project,noun,projek,"ideas & emotions",
purupuk,"wild sugarcane",noun,"tebu liar",nature,
purut,"pick up","verb ",pungut,root,
puruto,"pick it up","verb ",pungut,imperative,
pus,"shoo (cat)",verb,pus,,
pusas,"meat snack (while drinking)",noun,"lauk semasa minum","food & drink",
pusod,"belly button",noun,pusar,"body, health & activities",
pusod,navel,noun,pusar,"body, health & activities",
pusus,"hold onto","verb ",pegang,root,
pususo,"hold it","verb ",pegang,imperative,
puta,bubble,noun,buih,nature,
puta,foam,noun,buih,nature,
putik,duck,noun,itik,animals,
putul,cut,"verb ",potong,root,
putulo,chop,"verb ",potong,imperative,kotobo
putulo,"cut it","verb ",potong,imperative,kotobo
putut,break,"verb ",putus,root,
putut,snap,"verb ",putus,root,
pututo,"snap it","verb ",putuskan,imperative,
puun,root,noun,asal,"ideas & emotions",
puun,"rice with husk",noun,"beras yang masih berkulit",nature,
puun,plant,noun,pokok,nature,
puut,cup,noun,"cawan, tin","objects & tools",
puut,"measuring tin",noun,tin,"objects & tools",
puyut,"under a house",noun,"kolong rumah, bawah kulung","places & buildings",
raan,branch,noun,dahan,nature,
raan,branch,noun,ranting,nature,
rabas,face,noun,muka,"body, health & activities",
rabas,face,noun,wajah,"body, health & activities",
rabus,"boiled (food)",noun,rebus,"food & drink",
ragang,red,adjective,merah,descriptive,
raha,blood,noun,darah,"body, health & activities",
rahami,"straw (rice etc)",noun,jerami,nature,
rahat,sea,noun,laut,nature,
rahat,ocean,noun,lautan,nature,
rait,"marking with check mark",verb,menanda,,
raja,king,noun,raja,"people & roles",
rakan,cook,"verb ",masak,root,onsok
raki,dandruff,noun,kelemumur,"body, health & activities",
ralab,devour,"verb ",baham,root,
ralabo,"gobble it up","verb ",baham,imperative,
ralan,way,noun,jalan,"places & buildings",
"ralatan nu poh gula ih milo nu?","do you add more sugar to your Milo drink?",sentence,"adakah kamu tambahkan lagi gula kepada minuman Milo kamu?",interrogative,
ralit,durian,noun,"durian merah",nature,
rambot,net,noun,jala,"objects & tools",
rambot,"cast net",noun,rembat,"objects & tools",
ramok,dart,noun,dart,"objects & tools",
rampa,spices,noun,rempah,"food & drink",
rampam,"same age",adjective,sebaya,general,tampon
ranahon,"paddy field",noun,"sawah padi","places & buildings",
rancangan,plan,noun,rancangan,"ideas & emotions",
randawi,"middle finger",noun,"jari tengah","body, health & activities",
rangalau,rambutan,noun,rambutan,nature,
rangayan,"fishing pole",noun,joran,"objects & tools",
ranggal,"run onto",verb,langgar,,
rangkat,"move place",verb,"angkat barang",,
rangkato,"bring it away","verb ",angkat,imperative,
rantai,chain,noun,rantai,"objects & tools",
rantis,"make path in the wood",verb,"merintis jalan",,
rapaon,vegetables,noun,sayuran,"food & drink",
rapo,come,"verb ",datang,root,rikot
rasak,"dry up",verb,mengeringkan,,
rasam,rain,noun,hujan,nature,
rasam,rainfall,noun,hujan,nature,
rasua,corruption,noun,rasuah,"ideas & emotions",
rasuk,cloth,noun,baju,"clothing & personal items","garung, bansu"
rasuk,shirt,noun,baju,"clothing & personal items",
rasun,poison,noun,racun,"objects & tools",
rata-rata,generally,adverb,rata-rata,,
"rataon ih ranahon supaya aabal ih waig","the field is leveled to ensure even water distribution",sentence,"sawah diratakan untuk memastikan pengagihan air yang sekata",declarative,
rati,meaning,noun,erti,"ideas & emotions",
rati,meaning,noun,maksud,"ideas & emotions",
ratu,fall,"verb ",jatuh,root,
ribuan,thousands,number,ribuan,,
ribut,storm,noun,angin,nature,"sarup, tongus"
ribut,storm,noun,ribut,nature,
ridis,"slice up",verb,hiris,,
